frame,y,x,A,bg,x0,y0,x_std,y_std,sigma,niter,neglogL,retcode,xy_std,particle,step_length,step_sigma,prob_mobile,motion,track_id
0,207.19365208259435,547.8436511890412,78.69290563016364,105.35891878291717,548,207,0.1269835515412497,0.11844778048607757,1.7446655406459248,5,34.10077543649237,0,0.1736510842583692,0,,,,mobile,0
1,208.1528247056373,547.4643303181017,106.28354091164235,105.24151250637624,547,208,0.09141870893611076,0.09275746393216684,1.4995216972000547,4,31.110960867502857,0,0.1302356612402017,0,1.0314535587826548,0.21706226416118443,0.9999875049224832,mobile,0
2,207.82485715415368,547.6000457841583,52.411398773293634,103.06786456027332,547,208,0.18516429113475766,0.1697934710455938,1.985362334588703,9,27.629472664412063,0,0.2512282578078115,0,0.3549385898336764,0.28297873591459266,0.5446217933205149,mobile,0
3,207.0264709600045,548.0630386020389,65.85529563004401,103.75046467747865,548,207,0.15478888621244474,0.14013577076392836,1.8536706823921945,7,35.26667816410985,0,0.20880046346330136,0,0.9229208332338286,0.3266699726997228,0.9815185628763513,mobile,0
4,206.8704750869013,547.1538726563192,76.32123182780143,104.57548697549662,547,207,0.14747303852562058,0.13176071775731799,1.6928096591921427,8,39.75582991271411,0,0.19776042029663768,0,0.9224518574329963,0.2875879298204155,0.9941667414224916,mobile,0
5,206.04770101761832,547.7856981870858,96.96406193236939,103.23518069833746,548,206,0.09651765895836247,0.1012050102650049,1.7169057871443245,4,31.463409269170768,0,0.13985032210739637,0,1.0373816416406187,0.24221332834806036,0.9998960629822498,mobile,0
6,205.28712956693744,548.5896952478105,99.69382924910659,103.03715419334304,549,205,0.09852045157467659,0.09488612102996713,1.700933037513146,4,17.48272817199029,0,0.13678324218482235,0,1.1067430619817469,0.19562149149859348,0.9999998879221055,mobile,0
7,206.0089059572348,548.5466992242666,83.83239644787936,102.3207340947526,548,206,0.11502577136540372,0.11113111269727179,1.8648970861153606,5,32.53894080358639,0,0.15994077743821258,0,0.7230558869349302,0.21045357594997435,0.9972660996671109,mobile,0
8,206.99435116300762,548.8929514374139,79.94909131631144,102.4624063653602,549,207,0.11723473262639002,0.1165491092072305,1.7891672478650318,6,19.24644923334879,0,0.1653108507962502,0,1.0445060309495884,0.23001897677913435,0.9999667062300545,mobile,0
9,206.48376539757365,547.9273051763545,115.29178207414839,103.56132334546488,548,207,0.08799313897248215,0.08355156592277635,1.5307260790555155,4,26.735656410684477,0,0.1213410757920771,0,1.092323452719858,0.205064219368857,0.9999993103426904,mobile,0
10,206.27598079730865,547.3771898373917,121.56001338646394,104.01419156788124,547,206,0.08494677723229681,0.0799955064140394,1.5664110777419316,6,42.09595011627881,0,0.11668434345957507,0,0.588048744807272,0.16834159522521663,0.997759775554562,mobile,0
11,205.8951018446092,547.2531709546138,138.61256462181842,104.22028766459107,547,206,0.0761894029062959,0.07182748336967781,1.5336713765160814,5,37.49344343694657,0,0.10470918050696049,0,0.40056143086287566,0.15677770406225278,0.9617618353883108,mobile,0
12,206.02162477728112,547.1028447870261,83.15117299415962,103.62906264770017,547,206,0.11327530192379932,0.11778633928200327,1.8420863246161898,5,37.56286982253341,0,0.16341638763411423,0,0.19648411934172433,0.1940848480171039,0.40096687415624677,mobile,0
13,206.51978566735275,546.6573879140954,71.68448821160237,103.86336255860402,547,206,0.13010541793506766,0.1327128260575017,1.870174295457261,5,33.89569176399596,0,0.1858497080337425,0,0.6682784584574201,0.2474773317368894,0.9739041320822196,mobile,0
14,206.21251967379285,546.4202189878669,110.55304962425707,104.52922076326385,546,206,0.09159420489428308,0.08764605348930882,1.4188058069337517,5,22.415366673838676,0,0.12677274574003158,0,0.388151375582678,0.22496987140213692,0.7742694628533275,mobile,0
15,206.0181875117869,547.6514257409815,111.57908218077311,104.93992618544782,548,206,0.09030755253062314,0.08863621446019329,1.4621155632917229,6,38.87631989714093,0,0.12653787005440165,0,1.2464489793429137,0.1791177311724647,0.9999999999694795,mobile,0
16,205.7516894210966,547.2254769615367,122.35826146975606,104.20115358556778,547,206,0.08831115046995476,0.0771386711405272,1.5244621541271979,6,41.9798174670164,0,0.11725712721473862,0,0.502447604285315,0.17251396013238474,0.9856116994614517,mobile,0
17,206.14226881694233,547.0061915242749,159.82386404292535,103.17667386281178,547,206,0.06462049469603481,0.06447181532577079,1.4707671233200652,3,31.806993755187513,0,0.09128210835733669,0,0.4479267434015977,0.1485989811163386,0.9893596331242788,mobile,0
18,206.60829281552432,546.8936293718084,124.47926377234586,103.41735523435973,547,207,0.07966189852967509,0.0798909908489951,1.4440501702788344,4,23.703366609252587,0,0.11282104633527588,0,0.4794252865903396,0.14512412550071413,0.9957325220428553,mobile,0
19,206.60375470410287,547.0142849377188,62.65179362354251,103.53678622082963,547,206,0.14603734686244563,0.15026031699295347,1.9953051978439464,8,31.865055394303518,0,0.20953536584893043,0,0.12074087974017611,0.2379782721965003,0.12076895096576079,mobile,0
